epsilon,lambda_weight,mean_ale_m,mean_recall_at_k,mean_ndcg_at_k,mean_gen_f1,mean_citation_correctness
0.2,0.5,1244.44,0.1217,0.1118,0.1591,0.066
0.2,0.65,1773.29,0.1425,0.1162,0.1628,0.076
0.2,0.8,2040.82,0.1658,0.1427,0.1678,0.072
0.5,0.5,554.19,0.175,0.1567,0.167,0.088
0.5,0.65,511.09,0.1833,0.1393,0.1662,0.088
0.5,0.8,507.01,0.2008,0.1628,0.1687,0.094
1.0,0.5,383.97,0.165,0.1283,0.1616,0.074
1.0,0.65,355.01,0.1983,0.1623,0.1668,0.094
1.0,0.8,379.51,0.2,0.1535,0.1695,0.09
2.0,0.5,381.63,0.1908,0.1524,0.1657,0.082
2.0,0.65,379.94,0.1725,0.1401,0.1673,0.08
2.0,0.8,390.22,0.2,0.148,0.1703,0.086
